symbol,group,description
^DJI,index,DJ Industrials
^FVX,index,5yr T-Bill
^GSPC,index,S&P 500
^IRX,index,13 week T-Bill
^IXIC,index,Nasdaq Composite
^NDX,index,Nasdaq 100
^NYA,index,NYSE Composite
^RUT,index,Russel 2000
^SPX,index,S&P 500
^TNX,index,10-yr T-Bill
^TYX,index,30-yr T-Bill
^VIX,index,Volatility
^W5000,index,Wilshire 5000 Total Market Index
^XAX,index,NYSE/AMEX Composite Index
A,Healthcare,Agilent Technologies Inc
AAL,Airlines-Travel,American Airlines
AAP,Consumer_Discretionary,Advance Auto Parts
AAPL,Information Technology,Apple Inc.
ABBV,Healthcare,AbbVie Inc.
ABC,Healthcare,AmerisourceBergen Corp
ABMD,Healthcare,ABIOMED Inc
ABT,Healthcare,Abbott Laboratories
ACN,Information Technology,Accenture plc
ADBE,Information Technology,Adobe Inc.
ADI,Information Technology,Analog Devices Inc.
ADM,Consumer_Staples,Archer-Daniels-Midland Co
ADP,Information Technology,Automatic Data Processing
ADS,Information Technology,Alliance Data Systems
ADSK,Information Technology,Autodesk Inc.
AEE,Utilities,Ameren Corp
AEP,Utilities,American Electric Power
AES,Utilities,AES Corp
AFL,Financials,AFLAC Inc
AGQ,Leveraged ETF,Silver 3x Bullish
AIG,Financials,American International Group
AIV,Real Estate,Apartment Investment & Management
AIZ,Financials,Assurant
AJG,Financials,Arthur J. Gallagher & Co.
AKAM,Information Technology,Akamai Technologies Inc
ALB,Materials,Albemarle Corp
ALGN,Healthcare,Align Technology
ALK,Airlines-Travel,Alaska AG
ALL,Financials,Allstate Corp
ALLE,Industrials,Allegion
#ALXN,Healthcare,Alexion Pharmaceuticals
AMAT,Information Technology,Applied Materials Inc.
AMCR,Materials,Amcor plc
AMD,Information Technology,Advanced Micro Devices Inc
AME,Industrials,AMETEK Inc.
AMGN,Healthcare,Amgen Inc.
AMP,Financials,Ameriprise Financial
AMT,Real Estate,American Tower Corp.
AMZN,Consumer_Discretionary,Amazon.com Inc.
ANET,Information Technology,Arista Networks
ANSS,Information Technology,ANSYS
ANTM,Healthcare,Anthem
AON,Financials,Aon plc
AOS,Industrials,A.O. Smith Corp
APA,Energy,Apache Corporation
APD,Materials,Air Products & Chemicals Inc
APH,Information Technology,Amphenol Corp
APTV,Consumer_Discretionary,Aptiv PLC
ARE,Real Estate,Alexandria Real Estate Equities
ASML,nasdaq_100,ASML Holding N.V. New York Registry Shares
ATO,Utilities,Atmos Energy
ATVI,Communication_Services,Activision Blizzard
AVB,Real Estate,AvalonBay Communities
AVGO,Information Technology,Broadcom Inc.
AVY,Materials,Avery Dennison Corp
AWK,Utilities,American Water Works Company Inc
AXP,Financials,American Express Co
AZN,Pharmaceuticals,Astra Zenica (pharma)
AZO,Consumer_Discretionary,AutoZone Inc
BA,Industrials,Boeing Company
BABA,Consumer_Discretionary,Alibaba
BAC,Financials,Bank of America Corp
BAX,Healthcare,Baxter International Inc.
BBY,Consumer_Discretionary,Best Buy Co. Inc.
BDX,Healthcare,Becton Dickinson
BEN,Financials,Franklin Resources
#BF.B,Consumer_Staples,Brown-Forman Corp.
BIDU,nasdaq_100,"Baidu, Inc. ADS"
BIIB,Healthcare,Biogen Inc.
BK,Financials,The Bank of New York Mellon
BKNG,Consumer_Discretionary,Booking Holdings Inc
BKR,Energy,Baker Hughes Co
BLK,Financials,BlackRock
BLL,Materials,Ball Corp
BMRN,Pharmaceuticals,BioMarin Pharmaceutical Inc. Common Stock
BMY,Healthcare,Bristol-Myers Squibb
BOND,Bond ETFs,Pimco Bond ETF
BR,Information Technology,Broadridge Financial Solutions
#BRK.B,Financials,Berkshire Hathaway
BSX,Healthcare,Boston Scientific
BWA,Consumer_Discretionary,BorgWarner
